#,Company,Symbol,Portfolio%,Price,Chg,% Chg
154,"Roper Technologies, Inc.",ROP,0.13%,543.01,5.73,(1.07%)
155,"Ecolab, Inc.",ECL,0.13%,227.75,3.17,(1.41%)
156,Norfolk Southern Corp.,NSC,0.13%,250.03,1.52,(0.61%)
157,Edwards Lifesciences Corp,EW,0.13%,92.70,1.50,(1.64%)
158,Capital One Financial,COF,0.13%,143.52,1.39,(0.98%)
159,"American International Group, Inc.",AIG,0.12%,77.71,01.09,(1.42%)
160,"Autozone, Inc.",AZO,0.12%,"3,104.94",19.90,(0.65%)
161,"Air Products & Chemicals, Inc.",APD,0.12%,238.68,1.57,(0.66%)
162,Hilton Worldwide Holdings Inc.,HLT,0.12%,211.69,2.90,(1.39%)
163,Autodesk Inc,ADSK,0.12%,244.74,-0.07,(-0.03%)
164,"The Travelers Companies, Inc.",TRV,0.12%,230.89,2.39,(1.05%)
165,Ford Motor Company,F,0.12%,13.28,0.07,(0.53%)
166,Arthur J. Gallagher & Co.,AJG,0.12%,243.99,3.69,(1.54%)
167,"Dexcom, Inc.",DXCM,0.12%,138.93,5.59,(4.19%)
168,Truist Financial Corporation,TFC,0.12%,38.09,0.15,(0.40%)
169,General Motors Company,GM,0.12%,44.23,0.55,(1.26%)
170,Welltower Inc.,WELL,0.12%,91.76,1.32,(1.46%)
171,3m Company,MMM,0.12%,91.03,0.49,(0.54%)
172,Nucor Corporation,NUE,0.11%,200.97,1.87,(0.94%)
173,Copart Inc,CPRT,0.11%,56.55,0.81,(1.45%)
174,"Simon Property Group, Inc.",SPG,0.11%,150.15,2.20,(1.49%)
175,"Super Micro Computer, Inc.",SMCI,0.11%,948.02,-9.97,(-1.04%)
176,Williams Companies Inc.,WMB,0.11%,39.23,0.12,(0.31%)
177,Ross Stores Inc,ROST,0.11%,139.53,-0.18,(-0.13%)
178,D.R. Horton Inc.,DHI,0.11%,158.52,2.39,(1.53%)
179,"United Rentals, Inc.",URI,0.11%,706.87,13.04,(1.88%)
180,Carrier Global Corporation,CARR,0.11%,56.44,0.59,(1.06%)
181,Microchip Technology Inc,MCHP,0.11%,87.57,1.31,(1.52%)
182,"Oneok, Inc.",OKE,0.11%,79.65,0.43,(0.54%)
183,"Metlife, Inc.",MET,0.10%,73.60,0.47,(0.64%)
184,Te Connectivity Ltd,TEL,0.10%,144.65,0.17,(0.12%)
185,Aflac Inc.,AFL,0.10%,85.42,01.06,(1.26%)
186,The Allstate Corporation,ALL,0.10%,172.82,1.59,(0.93%)
187,Occidental Petroleum Corporation,OXY,0.10%,69.25,1.62,(2.40%)
188,Sempra,SRE,0.10%,70.52,-0.32,(-0.45%)
189,Public Storage,PSA,0.10%,282.57,1.93,(0.69%)
190,"American Electric Power Company, Inc.",AEP,0.10%,83.95,-0.01,(-0.01%)
191,"Fortinet, Inc.",FTNT,0.10%,70.91,1.68,(2.43%)
